t,yt
556,2249.013672
557,2283.248047
558,2316.290039
559,2346.476563
560,2376.480469
561,2411.178711
562,2444.296875
563,2474.499023
564,2506.392578
565,2537.819336
566,2572.552734
567,2616.578125
568,2649.486328
569,33.05664063
570,62.91601563
571,92.29394531
572,119.8125
573,147.9414063
574,177.9033203
575,206.1962891
576,237.7685547
577,270.0498047
578,302.6083984
579,334.703125
580,0
581,35.15429688
582,69.19335938
583,107.0439453
584,141.7265625
585,178.2509766
586,213.3798828
587,246.0302734
588,281.3046875
589,316.6865234
590,351.8154297
591,389.4677734
592,431.2773438
593,476.6054688
594,516.484375
595,557.140625
596,598.2998047
597,0
598,34.51953125
599,67.16894531
600,102.9462891
601,134.3115234
602,163.0332031
603,195.3603516
604,225.4365234
605,256.9853516
606,0
607,31.12304688
608,62.37304688
609,94.61816406
610,126.0458984
611,164.8730469
612,197.6162109
613,36.33105469
614,69.55273438
615,99.57714844
616,134.3408203
617,44.74902344
618,77.734375
619,107.9882813
620,136.4482422
621,165.2148438
622,196.1455078
623,225.6738281
624,254.8994141
625,289.4267578
626,319.7519531
627,353.8671875
628,388.2841797
629,423.6777344
630,457.9277344
631,492.9638672
632,527.2539063
633,562.0185547
634,594.7548828
635,631.2353516
636,667.5517578
637,705.8779297
638,741.6044922
639,776.9042969
640,811.5263672
641,846.2011719
642,879.9511719
643,916.9716797
644,950.8623047
645,981.3798828
646,1013.808594
647,1053.512695
648,1088.791016
649,1118.831055
650,1147.96875
651,1176.289063
652,1203.804688
653,1232.535156
654,1261.274414
655,1291.529297
656,1321.492188
657,69.46875
658,101.1904297
659,131.5185547
660,164.8945313
661,197.8847656
662,230.8779297
663,264.8076172
664,299.8945313
665,334.8613281
666,370.1767578
667,402.5703125
668,438.5732422
669,473.0917969
670,507.1503906
671,537.8125
672,571.7763672
673,608.1728516
674,638.4990234
675,830.9023438
676,865.7480469
677,899.3369141
678,933.6826172
679,967.5957031
680,1003.641602
681,1037.313477
682,1068.266602
683,1099.37793
684,1131.525391
685,1169.03125
686,1209.079102
687,1246.943359
688,1281.095703
689,1316.469727
690,1351.818359
691,1386.52832
692,1422.249023
693,1458.113281
694,1496.239258
695,1533.954102
696,1569.606445
697,1617.259766
698,1652.556641
699,1688.005859
700,1722.81543
701,1755.47168
702,1787.952148
703,1816.974609
704,1847.016602
705,1881.876953
706,1916.357422
707,1951.287109
708,1985.829102
709,2018.878906
710,2055.633789
711,2085.708008
712,2265.550781
713,2296.951172
714,2327.101563
715,0
716,28.66992188
717,58.76953125
718,88.25097656
719,120.2861328
720,155.4345703
721,190.1210938
722,225.9697266
723,259.8007813
724,290.7333984
725,321.3925781
726,355.9541016
727,390.3164063
728,420.7021484
729,450.8603516
730,482.7841797
731,513.3701172
732,72.171875
733,101.5634766
734,135.5546875
735,174.2197266
736,206.4970703
737,235.5195313
738,263.8427734
739,295.1650391
740,329.1308594
741,0
742,33.015625
743,65.18261719
744,94.56152344
745,126.9726563
746,159.5244141
747,0
748,31.94238281
749,66.14941406
750,99.81640625
751,134.1367188
752,171.2226563
753,206.2695313
754,241.5410156
755,275.6357422
756,311.2890625
757,343.3505859
758,375.2070313
